ISSN;TITULO;QUALIS
18078621;ACTA SCIENTIARUM. AGRONOMY (ONLINE);A4
18078672;ACTA SCIENTIARUM. ANIMAL SCIENCES;B2
16799283;ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO);B2
1807863X;ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE);B2
21785201;ACTA SCIENTIARUM. EDUCATION (ONLINE);A2
21785198;ACTA SCIENTIARUM. EDUCATION (PRINT);A2
16799291;ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO);B2
18078648;ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE);B2
18078656;ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES;A2
16797361;ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO);A2
19834675;ACTA SCIENTIARUM. LANGUAGE AND CULTURE (IMPRESSO);A1
19834683;ACTA SCIENTIARUM. LANGUAGE AND CULTURE (ONLINE);A1
18062563;ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO);B2
18078664;ACTA SCIENTIARUM. TECHNOLOGY (ONLINE);B2
2581365X;ACTA SCIENTIFIC AGRICULTURE;B4
25824473;ACTA SCIENTIFIC CANCER BIOLOGY;C
25814893;ACTA SCIENTIFIC DENTAL SCIENCES;B3
25821091;ACTA SCIENTIFIC GASTROINTESTINAL DISORDERS;C
25820931;ACTA SCIENTIFIC MEDICAL SCIENCES;B3
25813226;ACTA SCIENTIFIC MICROBIOLOGY;B4
25821423;ACTA SCIENTIFIC NUTRITIONAL HEALTH;C
25823191;ACTA SCIENTIFIC OPHTHALMOLOGY;B3
2581883X;ACTA SCIENTIFIC PAEDIATRICS;C
25815423;ACTA SCIENTIFIC PHARMACEUTICAL SCIENCES;C
25823183;ACTA SCIENTIFIC VETERINARY SCIENCES;C
01024264;ACTA SEMIOTICA ET LINGUISTICA;B3
24467006;ACTA SEMIOTICA ET LINGVISTICA;B3
00016977;ACTA SOCIETATIS BOTANICORUM POLONIAE;B1
01866028;ACTA SOCIOLOGICA;A1
00016993;ACTA SOCIOLOGICA (TRYKT UTG.);A3
00017019;ACTA STOMATOLOGICA CROATICA;B2
